amount,amountCreditDebitIndicator,effectiveDate,glAccountNumber,jeHeaderDescription,journalId,journalIdLineNumber,transactionId,transactionTypeDescription,transactionType,reversalReason,isNegativePostingIndicator,reversalID,reversalType,reversalFiscalYear,isInterCoFlag,clearingDocumentNumber,clearingDate,customerNumber,vendorNumber,documentStatus,documentDate,documentType,transactionKey,accountType,referenceTransaction,businessTransactionCode,postingKey,isClearing,referenceSubledgerDocumentNumber,transactionCode,amountCurrency,approvedBy,approvedDateTime,businessUnitCode,enteredBy,enteredDateTime,fiscalYear,jeLineDescription,journalEntryType,lastModifiedBy,lastModifiedDate,localAmount,localAmountCurrency,period,reportingAmount,reportingAmountCurrency,reversalIndicator,reversalJournalId,segment01,segment02,segment03,segment04,segment05,sourceId,tags,taxCode,userDefined1,userDefined2
6536.62,D,2020-07-04T00:00:00Z,13101,BOM Build,2458,1,003-11-0000002458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050630000001,,,,,,7,,,,,,,,,,,,,,
3088.39,D,2020-07-22T00:00:00Z,13101,BOM Build,2493,1,003-11-0000002493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050720000001,,,,,,7,,,,,,,,,,,,,,
1800.02,D,2020-08-31T00:00:00Z,13101,BOM Build,2636,1,003-11-0000002636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050720000001,,,,,,8,,,,,,,,,,,,,,
10754.76,D,2020-08-31T00:00:00Z,13101,BOM Build,2637,1,003-11-0000002637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050815000001,,,,,,8,,,,,,,,,,,,,,
8965.81,D,2020-08-31T00:00:00Z,13101,BOM Build,2638,1,003-11-0000002638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050817000001,,,,,,8,,,,,,,,,,,,,,
-3675.82,C,2020-07-04T00:00:00Z,13102,BOM Build,2458,2,003-11-0000002458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050630000001,,,,,,7,,,,,,,,,,,,,,
642.53,D,2020-07-21T00:00:00Z,13102,BOM Build,2492,1,003-11-0000002492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050719000001,,,,,,7,,,,,,,,,,,,,,
-740.87,C,2020-08-31T00:00:00Z,13102,BOM Build,2636,2,003-11-0000002636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050720000001,,,,,,8,,,,,,,,,,,,,,
-5382.14,C,2020-08-31T00:00:00Z,13102,BOM Build,2637,2,003-11-0000002637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050815000001,,,,,,8,,,,,,,,,,,,,,
-6628.75,C,2020-08-31T00:00:00Z,13102,BOM Build,2638,2,003-11-0000002638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050817000001,,,,,,8,,,,,,,,,,,,,,
-279.82,C,2020-07-04T00:00:00Z,13103,BOM Build,2458,3,003-11-0000002458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050630000001,,,,,,7,,,,,,,,,,,,,,
-642.53,C,2020-07-21T00:00:00Z,13103,BOM Build,2492,2,003-11-0000002492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050719000001,,,,,,7,,,,,,,,,,,,,,
-3088.39,C,2020-07-22T00:00:00Z,13103,BOM Build,2493,2,003-11-0000002493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050720000001,,,,,,7,,,,,,,,,,,,,,
-1015.4,C,2020-08-31T00:00:00Z,13103,BOM Build,2636,3,003-11-0000002636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050720000001,,,,,,8,,,,,,,,,,,,,,
-645.85,C,2020-08-31T00:00:00Z,13103,BOM Build,2637,3,003-11-0000002637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050815000001,,,,,,8,,,,,,,,,,,,,,
-2030.8,C,2020-08-31T00:00:00Z,13103,BOM Build,2638,3,003-11-0000002638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050817000001,,,,,,8,,,,,,,,,,,,,,
-2580.98,C,2020-07-04T00:00:00Z,94999,BOM Build,2458,4,003-11-0000002458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050630000001,,,,,,7,,,,,,,,,,,,,,
-43.75,C,2020-08-31T00:00:00Z,94999,BOM Build,2636,4,003-11-0000002636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050720000001,,,,,,8,,,,,,,,,,,,,,
-4726.77,C,2020-08-31T00:00:00Z,94999,BOM Build,2637,4,003-11-0000002637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050815000001,,,,,,8,,,,,,,,,,,,,,
-306.25,C,2020-08-31T00:00:00Z,94999,BOM Build,2638,4,003-11-0000002638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050817000001,,,,,,8,,,,,,,,,,,,,,
-0.01,C,2020-08-31T00:00:00Z,94999,BOM Build,2638,5,003-11-0000002638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050817000001,,,,,,8,,,,,,,,,,,,,,
6536.62,D,2020-07-04T00:00:00Z,13101,BOM Build,2458,1,003-11-0000002458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050630000001,,,,,,7,,,,,,,,,,,,,,
